distribution,training_iqr_scaled_euclidean_distance
prior_predictive,3.1800808230257016
prior_predictive,4.147442931367332
prior_predictive,4.679511730760145
prior_predictive,5.641595870464425
prior_predictive,3.4833050962565197
prior_predictive,5.955685604480145
prior_predictive,3.29379477494163
prior_predictive,4.216838919200554
prior_predictive,4.330448382453916
prior_predictive,3.7389273001499874
prior_predictive,5.841787135628915
prior_predictive,4.167066100323757
prior_predictive,5.4007171712554
prior_predictive,4.662648091752712
prior_predictive,5.007143572014823
prior_predictive,4.392571839643212
prior_predictive,4.252799904841629
prior_predictive,5.585069941975575
prior_predictive,43.662057027517996
prior_predictive,4.371401917231426
prior_predictive,4.206577121508051
prior_predictive,5.469390909822916
prior_predictive,3.2655910128522225
prior_predictive,108.72936194201952
prior_predictive,4.218698102617363
prior_predictive,3.1147101778718196
prior_predictive,4.783631247054757
prior_predictive,4.865318202357681
prior_predictive,1.9609337699131224
prior_predictive,3.7084118723894486
prior_predictive,6.553745031931818
prior_predictive,3.6556958083810036
prior_predictive,5.3702061643316465
prior_predictive,5.269432271116754
prior_predictive,2.896958436983563
prior_predictive,3.3201757916237247
prior_predictive,5.158565408313418
prior_predictive,4.380051731131734
prior_predictive,5.199925770166427
prior_predictive,18.421116841570658
prior_predictive,4.2746122699822715
prior_predictive,4.54113594462725
prior_predictive,3.6407516896266507
prior_predictive,20.089542133872353
prior_predictive,4.287249028309875
prior_predictive,5.400163448553788
prior_predictive,5.0013264344340005
prior_predictive,2.12375331070337
prior_predictive,4.460922438205968
prior_predictive,5.160512684643182
prior_predictive,5.276805790107221
prior_predictive,3.631822848140678
prior_predictive,3.4658709433518946
prior_predictive,3.0735662883114054
prior_predictive,4.102897611375765
prior_predictive,4.300636015657126
prior_predictive,4.461392070081498
prior_predictive,4.124568657934597
prior_predictive,3.5295662806049615
prior_predictive,4.483805118855594
prior_predictive,4.898768622708087
prior_predictive,4.581672316172715
prior_predictive,6.897128298291722
prior_predictive,4.938324106304289
prior_predictive,4.008551474230648
prior_predictive,3.3249001825710995
prior_predictive,7.301114692008732
prior_predictive,4.707727730119383
prior_predictive,5.687517450931776
prior_predictive,4.465464815917698
prior_predictive,4.290048319741803
prior_predictive,4.014697131658128
prior_predictive,4.386331546614934
prior_predictive,20.20460402372884
prior_predictive,4.173797839927609
prior_predictive,4.530643221187308
prior_predictive,4.1947731325135456
prior_predictive,4.65177741875696
prior_predictive,3.385186764925243
prior_predictive,4.600032718551175
prior_predictive,5.208003713865497
