sample_id_a,sample_id_b,theta_rms_distance,x_distance,x_to_noise_ratio,delta_mue_prior_width,delta_mui_prior_width,delta_b_prior_width,delta_tauA_prior_width,delta_g_LK_prior_width,delta_g_h_prior_width,delta_c_th2ctx_prior_width,delta_c_ctx2th_prior_width
703,1091,0.3878664455809173,0.37022559517472553,0.16063078096641917,-0.38235977943986676,-0.048243513330817125,-0.10362144932150813,-0.4408837659284474,-0.23834661580622196,0.7181836236268282,-0.5203592637553811,0.08068525046110142
228,1520,0.3659556826746249,0.37348332886368396,0.16204422269886085,0.19334310851991177,0.019507366232573653,0.009232031181454554,0.27652002032846223,-0.3813856570050119,0.05028514377772808,-0.4438440827652812,0.7823660662397742
397,427,0.2938819166093754,0.37541352035613573,0.1628816801056102,0.15813691820949327,0.02258301712572583,0.16559903230518058,0.10180967953056108,0.5971549181267618,-0.028015081770717987,0.3153446288779378,-0.41328687779605394
876,1094,0.2556029194895921,0.37717491498559036,0.16364590116057487,-0.35719932150095673,0.025402880273759476,-0.10800300445407618,-0.33861673343926646,-0.2955102287232876,0.12642381899058797,0.0046938564628362656,0.4059173651039599
126,2030,0.46492467547315686,0.3781487136966008,0.16406840584283455,0.08383452892303478,0.1309320116415622,-0.024315169081092103,0.1751221902668476,-0.9581801174208523,-0.005417502485215608,-0.6308312090113759,-0.5980992401018739
1037,2045,0.4754113105893065,0.3794354282735892,0.16462667617874957,-0.060973072424531094,-0.1085278922691941,-0.04440206475555894,-0.16959214583039284,-0.9140127161517739,-0.416828735731542,-0.7403464522212744,0.4523493628948926
1142,1940,0.2827952441167335,0.37990426091903967,0.16483008986749173,0.4339856291189794,0.0302619682624935,-0.1069862917065621,0.5783077487722041,0.10197326447814702,0.27409512456506513,0.09683480020612478,-0.09867272339761235
393,1005,0.3126229384966818,0.3800229665035838,0.16488159298072572,0.2528761094436053,-0.005287031643092438,-0.13371716719120716,0.38224424794316303,0.3057606900110841,0.1175176613032819,0.43383822124451404,0.5083148488774896
1144,1852,0.3202427269325648,0.38126822579384323,0.16542187699919195,-0.27359512727707624,-0.08195201586931966,-0.03296308219432832,-0.5095064248889686,-0.12998400442302227,-0.6175968721508981,-0.04236356448382139,-0.27941552456468366
648,1026,0.27824821812387457,0.38144665594237753,0.16549929297064442,-0.3871204499155286,-0.036492950282991043,-0.1079094717279081,-0.5020687533542514,-0.21192510332912184,0.20117097347974777,-0.2765011182054876,-0.20647087786346685
109,1063,0.35285869138547477,0.38331327500586354,0.16630916803558438,0.3363332264125349,-0.0167521936818959,-0.0771470014005898,0.5618905145674944,-0.4192047948017717,0.1554578086361289,-0.33530208747833967,0.4986717188730835
922,1800,0.4078227034769946,0.3840101963888581,0.16661154320218996,0.5192677322775124,0.012228832580149507,-0.005793827585875988,0.6607252154499292,0.44515347201377137,0.1673237355425955,-0.10068201925605536,0.6227995213121176
315,531,0.30017187693797065,0.38430638034267905,0.16674004933583406,-0.21123466640710858,-0.17681246902793674,0.07095696870237589,-0.3270229473710058,0.0126480897888539,0.19693872611969698,-0.2105818409472704,-0.6705774115398527
539,1077,0.29594196361517816,0.38684052119399986,0.16783954388545982,-0.33040899317711614,-0.09984770417213462,0.07024764921516174,-0.5698442813009021,-0.4589659869670868,-0.02418964821845293,-0.2013073563575745,0.009833345189690562
674,1052,0.310268688723652,0.3874379939612713,0.16809877101201137,0.1752804517745974,0.0775028271600603,-0.07594041898846593,0.35996740218251944,0.2343760132789613,-0.10871722456067778,0.3023262033239007,-0.6632549939677121
926,1494,0.3171182053738536,0.3883514374717211,0.16849508922005693,0.15448192134499616,-0.07855085283517826,0.17580058611929378,0.0969942519441247,0.6319539705291389,0.2951008053496481,0.29502355493605137,-0.40084138233214617
1063,1401,0.37325380630293764,0.38992940273889154,0.1691797252811695,-0.6508670058101418,0.03629584610462211,0.05613611266016946,-0.7834178460761906,-0.056892463937401716,-0.08078915346413817,-0.1270966846495868,-0.21630994416773322
168,1412,0.3602982045853514,0.39143790309007315,0.16983422241118035,-0.03099012654274691,-0.06998880580067601,0.13954644836485375,-0.1166213564574719,0.6534572299569844,-0.1506732078269124,0.6549784950911999,0.3476783009245994
127,995,0.4220156340445838,0.3914885638863649,0.1698562027479771,-0.3623612364754081,0.0059010060504078865,-0.08367774728685629,-0.6014690827578306,0.41968091018497933,0.6832112614065409,0.5079524135217071,-0.15409316681325458
855,1603,0.25360579239009196,0.39209927415930523,0.17012117326693957,-0.18943529389798652,0.019507463090121857,-0.025864107534289568,-0.1707456028088927,0.2729721991345285,0.06592584960162629,0.5405314015224576,-0.27821513917297114
4,1700,0.2766152573050001,0.39228800718024054,0.1702030593735246,-0.03265975043177616,-0.10573375597596135,-0.12294405605644015,0.1552777541801335,0.09271225892007351,-0.008483399637043476,0.672237734310329,-0.3163608601316812
954,1022,0.49376826374882626,0.3938652081682236,0.17088736383475767,-0.26881779730319977,0.015986682847142886,-0.4229074539616702,0.08170796371996408,0.6725584045052528,0.3739883191883563,0.9719023127108811,-0.39448082633316517
1733,2015,0.5247936438452793,0.39508228870442524,0.17141542186093717,0.6790987532585858,0.01958246342837805,0.08535461965948343,0.979946448467672,0.4785828012973069,-0.21431125979870558,0.34293708205223083,0.6176983490586281
379,608,0.4176624757414396,0.3956198274857029,0.17164864526677873,0.2361424947157503,-0.06100902520120138,-0.05161675252020364,0.6297892360016704,0.18520156294107443,0.2998413471505046,0.286812424659729,-0.8545674812048674
774,1940,0.39873921777268595,0.39629789936417553,0.1719428421478426,0.48804610036313556,0.051310081966221555,0.002017748542130049,0.5966372396796942,0.554361109621823,0.45735517237335455,0.1478621857240796,-0.3698495682328938
914,2004,0.3771757819269078,0.39723780131378755,0.1723506399504953,0.16122113447636338,0.028882421553134696,0.27275471668690454,0.0546785807237028,-0.6116979485377669,-0.068286390043795,-0.6888902131468058,-0.42482242826372385
178,1070,0.3143472429288796,0.3982228901724928,0.17277804311969128,-0.32538639195263386,0.16166605520993482,-0.05269445106387166,-0.3259192081168296,0.32133022230118513,0.5627751173451543,0.2922776797786355,-0.2100144606083632
1437,1739,0.46599111698761503,0.4001723669583695,0.1736238678888931,0.2714326810091732,0.0038514165207742534,-0.08405010960996084,0.2547198040410874,-0.5110814273357391,0.637267442420125,-0.9412379302084447,-0.1957083949819207
1285,1441,0.26401953316441845,0.40274411939912313,0.17473968108061907,-0.2305161049589517,-0.11021676007658243,0.17718574404716486,-0.4601499540731312,-0.1689440133050084,0.28782973904162656,-0.24321114923804998,-0.2805220717564225
