mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,old_score,old_feasible,new_score,new_feasible,n_passed_new,old_T1_min_rE,old_T2_max_rE,old_T3_longest_ms,old_T4_freq,old_T4_q,old_T5_fwhm,old_T6_ibi_cv,old_T6_n_bursts,old_T7_sp_cv,old_T8_n_sp_events,old_T8_mean_sp_dur,old_T9_mi,old_T10_phase,old_T10_dist_to_target,old_T11_lag_ms,old_T12_n_verified,T9_new,T9_mi,T10a_new,T10a_phase_argmax_deg,T10b_new,T10b_concentration,T11_new,T11_up_down_ratio,pac_bimodal,pac_ok,pac_n_so_cycles,shape_r,T4_q,T12_n_verified
3.799863120858542,2.9822723792978376,38.84808244531818,1691.5930039186935,0.0540437349281698,0.0701217116912871,0.011900809746261,0.1920113476785543,0.651354,True,-10.0,0,10,1.680560792768803e-10,60.89980777989231,178.0,0.75,2.993,1.25,0.342,44,1.277,23,0.598,0.01312,2.828,0.313,551.0,20,True,0.013306933877260752,False,149.99999999999997,True,0.14982330107198388,False,0.9381362266474226,True,True,38,0.532708,2.993,20
3.820410291812161,3.1520000751052404,34.22800972992899,1758.2143165889,0.0517369697904478,0.0639210883303716,0.0241379251866576,0.0768672123363951,0.648836,True,0.654524,1,12,2.544248081424958e-10,62.66564611735296,204.0,0.75,3.27,1.0,0.318,47,1.011,21,0.58,0.04171,0.792,0.792,50.0,20,True,0.04651884343123479,True,10.000000000000002,True,0.34031726860839556,True,2.214592000626579,False,True,41,0.525298,3.27,20
4.014702763989303,3.4313734273159024,35.27008121525844,1571.2392953300953,0.053255628868985,0.0678234038665801,0.0164413614008541,0.103623931154123,0.645919,True,-10.0,0,11,1.2832801108745064e-11,64.91137094466504,219.0,0.75,3.316,1.75,0.501,58,1.253,27,0.499,0.01625,0.162,0.162,-1343.0,20,True,0.016082078125612617,True,-10.000000000000002,True,0.1690025015514362,True,1.7598410120821573,False,True,44,0.485714,3.316,20
3.9174521347802047,3.463173655291619,31.48412594669801,1604.210493617871,0.0569188334092865,0.0698237817737256,0.00170977693657,0.119458791181818,0.644858,True,-10.0,0,10,2.91821698082897e-12,67.97659451210376,251.0,0.75,3.217,1.25,0.349,41,1.442,17,0.809,0.00756,2.894,0.248,529.0,13,True,0.0061562378993528614,False,130.0,True,0.1151347714535514,False,1.0107321991421214,True,True,35,0.488841,3.217,13
4.042275620455523,3.222988628183429,37.91485347947707,1736.194219811317,0.0560051317973006,0.0707167584945632,0.0164101387559094,0.1311017860119312,0.644855,True,-10.0,0,11,3.124032545709265e-11,64.41545644874682,191.0,0.75,3.583,2.0,0.452,52,1.359,19,0.71,0.01325,2.1,1.041,-1313.0,13,True,0.011766867662794736,True,10.000000000000002,True,0.14541904315832324,True,1.5214412277123524,False,True,41,0.541585,3.583,13
3.6797665640941366,2.9637658034383967,34.79301178608962,1606.733345691445,0.0508588646151363,0.0676583105449578,0.0153728184248176,0.1076030857098438,0.644854,True,-10.0,0,11,3.70095018312639e-10,60.741395958711955,193.0,0.75,3.337,1.5,0.292,44,1.194,25,0.511,0.01272,2.592,0.549,139.0,20,True,0.011163587268932094,True,10.000000000000002,True,0.14662114621269692,False,1.1182744875863468,True,True,39,0.584332,3.337,20
3.847905153519275,3.329755922702238,36.64509992780949,1620.237886527408,0.0523782093175701,0.0660985362988823,0.0072008254634244,0.1250524238033274,0.6448,True,-10.0,0,10,1.5590572242295582e-11,63.2390423847411,201.0,0.75,3.039,1.5,0.398,45,1.175,23,0.513,0.01168,-2.795,0.347,996.0,20,True,0.014166113696924323,False,-110.0,True,0.19476875628722584,False,1.187366470128649,False,True,37,0.55185,3.039,20
3.979690178692772,3.2094152884441813,38.26986271090362,1183.484572508156,0.0515088021953417,0.0729567534834406,0.0008206127112272,0.1438181487160676,0.641926,True,-10.0,0,8,1.589523733843137e-11,66.84807889667434,224.0,1.0,3.044,0.5,0.532,72,1.129,17,0.8,0.00083,-3.011,0.13,-513.0,17,False,0.0006418044912662796,False,-149.99999999999997,False,0.026012658491200075,False,1.1675144771869908,False,True,50,0.528227,3.044,17
3.983943789955796,3.2425220460787028,34.37272554666226,1710.2806939755037,0.0536586404418111,0.0613574469646229,0.0050707353292466,0.1510745287814806,0.640517,True,-10.0,0,10,7.37654395375015e-12,64.92142152632547,230.0,0.75,3.65,2.5,0.318,45,1.099,22,0.489,0.00265,-3.099,0.043,-1238.0,11,False,0.0007509760815117524,True,10.000000000000002,False,0.020873127656802413,True,1.3099724390826284,False,True,39,0.588617,3.65,11
3.867407228876965,3.2002052821186813,35.95343040044475,1820.6254595776093,0.0513679245053418,0.0672138755390791,0.0159328339170475,0.1030521874168558,0.63918,True,-10.0,0,9,2.2381408816191295e-11,62.915441317995274,186.0,0.75,2.732,1.75,0.49,49,1.169,25,0.502,0.00716,2.971,0.171,675.0,24,True,0.008064125378694833,False,149.99999999999997,True,0.10954107974921708,False,1.0083006515648565,True,True,38,0.593611,2.732,24
