track,n_train,estimator,parameter,n_cases,n_posterior_samples_per_case,rank_mean,rank_var,tail_low_005,tail_high_095,pit_ecdf_ks,pit_ecdf_ks_pvalue,central_cov_50,central_cov_80,central_cov_90,central_cov_95,bias_unit,mae_unit,mean_posterior_std,is_focus,framing,ranks_npz_sha256
8d,32768,member_4,mui,1024,1000,0.6612411026473527,0.04491028138362292,0.0107421875,0.0498046875,0.29614526098901095,4.260094516299401e-80,0.5595703125,0.8662109375,0.939453125,0.9765625,-0.0049823727958937525,0.009000035941426177,0.020166889219581208,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_4,b,1024,1000,0.5030467579295704,0.08891536331008,0.0576171875,0.0625,0.024634545142357633,0.554832997158443,0.4775390625,0.7705078125,0.8798828125,0.9287109375,0.00300925474948599,0.10136700284783728,0.12322665419378609,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_4,tauA,1024,1000,0.5298666177572429,0.10448616953579871,0.0859375,0.103515625,0.08628188218031974,4.415519444802714e-07,0.4140625,0.68359375,0.810546875,0.880859375,-0.02877621489824378,0.18996959092692123,0.18619505274182302,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_4,g_LK,1024,1000,0.5073461694555446,0.09539766257859153,0.056640625,0.072265625,0.04288582511238759,0.04492056072214701,0.4404296875,0.7421875,0.87109375,0.9306640625,0.0205284668954846,0.15223755457191146,0.17237385488624568,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_4,g_h,1024,1000,0.5121597152847153,0.08923524062563909,0.0595703125,0.06640625,0.03551331481018982,0.1474855047470639,0.478515625,0.763671875,0.8740234375,0.921875,0.014048591094251606,0.15963535722949018,0.1977680282343499,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_4,c_th2ctx,1024,1000,0.5049140312812188,0.09763039160834765,0.0634765625,0.0712890625,0.049981268731268735,0.011584433947653194,0.421875,0.7421875,0.865234375,0.9208984375,-0.053749629310914315,0.16016561380092753,0.1786876258229313,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_4,c_ctx2th,1024,1000,0.49484597433816185,0.08404156211447379,0.0556640625,0.0498046875,0.018622002997003007,0.8629424956116889,0.5068359375,0.7978515625,0.89453125,0.9404296875,0.0071170496794366045,0.2505825756506965,0.28668692232167814,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,mue,1024,1000,0.5220307036713288,0.09983238120417794,0.076171875,0.0859375,0.06632430069930073,0.00023241944689091824,0.4228515625,0.7001953125,0.837890625,0.9111328125,-0.020583544946930488,0.14842487862733833,0.1504949529971782,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,mui,1024,1000,0.301432942057942,0.04244965233170576,0.07421875,0.0009765625,0.346174333479021,3.964462492657772e-110,0.4697265625,0.8408203125,0.9248046875,0.96484375,0.00659836570139305,0.009015393637128,0.016604413297500287,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,b,1024,1000,0.4986263736263736,0.08845144853418105,0.06640625,0.056640625,0.021512667020479492,0.7219754117119148,0.4755859375,0.7802734375,0.876953125,0.931640625,0.0008683378200657899,0.09669902655696205,0.11654389381692454,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,tauA,1024,1000,0.5258715893481518,0.09893348886239185,0.0703125,0.09375,0.0699612887112887,8.385553387391645e-05,0.4267578125,0.72265625,0.8359375,0.8994140625,-0.021037336948211305,0.19045258018013556,0.19473349001600582,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,g_LK,1024,1000,0.47996144480519476,0.08999227392944197,0.06640625,0.0546875,0.05136269980019981,0.00868636234651192,0.4716796875,0.76953125,0.87890625,0.931640625,0.04257137163222069,0.15336101044522366,0.1729086168888898,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,g_h,1024,1000,0.5068525224775224,0.08571573379419492,0.0546875,0.05859375,0.025119411838161798,0.5296190843536472,0.4912109375,0.7841796875,0.88671875,0.93359375,0.01596397313005582,0.14951735340764571,0.19845681111473823,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,c_th2ctx,1024,1000,0.5016419127747253,0.09589782975006107,0.064453125,0.072265625,0.04105757523726272,0.06159510340358565,0.4267578125,0.7431640625,0.86328125,0.91796875,-0.05011976394234807,0.1573228081506386,0.18154232112283353,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_5,c_ctx2th,1024,1000,0.505578405969031,0.08524944204178597,0.056640625,0.06640625,0.016955700549450503,0.9251321479642158,0.50390625,0.7861328125,0.876953125,0.93359375,-0.009661753896580194,0.2523838875913498,0.28551710925239604,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
7d,8192,ensemble,mue,1024,1000,0.49721372377622375,0.10507837203630413,0.1005859375,0.0888671875,0.06824230457042957,0.0001366906061108803,0.40625,0.6943359375,0.810546875,0.896484375,-0.0015533941204921575,0.14985579743915878,0.1495862501396914,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,4aca81a3342aa61b2cca84be4c1cf38f0337ef683b06a4e72532bd52545f2470
7d,8192,ensemble,mui,1024,1000,0.4558829842032967,0.053816550046295715,0.0380859375,0.0078125,0.15120036213786214,6.652192818109137e-21,0.6796875,0.892578125,0.9541015625,0.9736328125,0.006469192436270532,0.013584320977315656,0.0452592348538019,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,4aca81a3342aa61b2cca84be4c1cf38f0337ef683b06a4e72532bd52545f2470
7d,8192,ensemble,b,1024,1000,0.4946401254995005,0.09197783056469962,0.0693359375,0.0732421875,0.03300800761738262,0.20983650848957203,0.4658203125,0.744140625,0.857421875,0.923828125,0.01116918093066488,0.11304264586397039,0.13766105395552586,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,4aca81a3342aa61b2cca84be4c1cf38f0337ef683b06a4e72532bd52545f2470
