track,member_key,strategy,parameter,n_cases,rank_mean,pit_ecdf_ks,central_cov_90,central_cov_95,bias_unit,mean_lower_leak,mean_upper_leak,boundary_point_mass,mean_accept_rate
8d,ensemble,raw_preclip,mue,48,0.5370370370370371,0.11196393762183238,0.9583333333333334,1.0,-0.030722164975789685,0.033854166666666664,0.043375651041666664,0.07722981770833333,1.0
8d,ensemble,raw_preclip,mui,48,0.5426413255360624,0.23135964912280702,0.9791666666666666,1.0,-0.0010286123336603243,0.0025634765625,0.0027262369791666665,0.005289713541666667,1.0
8d,ensemble,raw_preclip,b,48,0.4612166991552957,0.16483918128654962,0.9166666666666666,0.9583333333333334,0.01992307052326699,0.016886393229166668,0.035685221354166664,0.052571614583333336,1.0
8d,ensemble,raw_preclip,tauA,48,0.555027615334633,0.13718323586744646,0.8958333333333334,0.9583333333333334,-0.051686377342169486,0.022623697916666668,0.055013020833333336,0.07763671875,1.0
8d,ensemble,raw_preclip,g_LK,48,0.5628248862897985,0.16508284600389864,0.9375,0.9791666666666666,0.0047082738019526005,0.023152669270833332,0.023681640625,0.046834309895833336,1.0
8d,ensemble,raw_preclip,g_h,48,0.545930799220273,0.16447368421052638,0.8333333333333334,0.9166666666666666,0.013306803516267488,0.009969075520833334,0.019449869791666668,0.0294189453125,1.0
8d,ensemble,raw_preclip,c_th2ctx,48,0.5321231319038336,0.17641325536062386,0.8958333333333334,1.0,-0.05744571588002145,0.010579427083333334,0.020711263020833332,0.031290690104166664,1.0
8d,ensemble,raw_preclip,c_ctx2th,48,0.49532975958414555,0.08126218323586742,0.9375,0.9583333333333334,0.0009672427938009301,0.00634765625,0.009236653645833334,0.015584309895833334,1.0
8d,ensemble,clipped,mue,48,0.5370370370370371,0.11196393762183238,0.9583333333333334,1.0,-0.030722164975789685,0.033854166666666664,0.043375651041666664,0.07722981770833333,1.0
8d,ensemble,clipped,mui,48,0.5426413255360624,0.23135964912280702,0.9791666666666666,1.0,-0.0010286123336603243,0.0025634765625,0.0027262369791666665,0.005289713541666667,1.0
8d,ensemble,clipped,b,48,0.4612166991552957,0.16483918128654962,0.9166666666666666,0.9583333333333334,0.01992307052326699,0.016886393229166668,0.035685221354166664,0.052571614583333336,1.0
8d,ensemble,clipped,tauA,48,0.555027615334633,0.13718323586744646,0.8958333333333334,0.9583333333333334,-0.051686377342169486,0.022623697916666668,0.055013020833333336,0.07763671875,1.0
8d,ensemble,clipped,g_LK,48,0.5628248862897985,0.16508284600389864,0.9375,0.9791666666666666,0.0047082738019526005,0.023152669270833332,0.023681640625,0.046834309895833336,1.0
8d,ensemble,clipped,g_h,48,0.545930799220273,0.16447368421052638,0.8333333333333334,0.9166666666666666,0.013306803516267488,0.009969075520833334,0.019449869791666668,0.0294189453125,1.0
8d,ensemble,clipped,c_th2ctx,48,0.5321231319038336,0.17641325536062386,0.8958333333333334,1.0,-0.05744571588002145,0.010579427083333334,0.020711263020833332,0.031290690104166664,1.0
8d,ensemble,clipped,c_ctx2th,48,0.49532975958414555,0.08126218323586742,0.9375,0.9583333333333334,0.0009672427938009301,0.00634765625,0.009236653645833334,0.015584309895833334,1.0
