i,j,k,g_LK,g_h,c_ctx2th,sp_peak_power_log,sp_env_cv,n_events_raw,n_events_valid,n_events_verified,mean_event_dur,pac_mi,ctx_min,ctx_max,ctx_ibi_cv,ctx_n_bursts,ok,fail_reason
13,1,1,0.09428571428571429,0.025714285714285714,0.065,0.0,0.4978428319054288,18,18,0,0.6948888888888889,0.0004673203920105439,4.667593149797495e-11,64.35710266863659,0.4197384452003707,54,True,
13,1,2,0.09428571428571429,0.025714285714285714,0.11000000000000001,0.0,0.5439257710943257,19,19,2,0.6857368421052632,0.0016296096639044982,5.039720384596998e-11,64.0983980906753,0.4382356937547861,55,True,
13,1,3,0.09428571428571429,0.025714285714285714,0.155,0.042273408502533374,0.5077558497291794,16,16,1,0.653875,0.0010083833791073194,1.1022417424950012e-10,63.28150087917421,0.4938231947854496,57,True,
13,1,4,0.09428571428571429,0.025714285714285714,0.2,0.0,0.4978217831652444,23,23,3,0.5746521739130435,0.002028927960054685,4.443175731476718e-11,63.424876009164564,0.4455352769676157,55,True,
13,2,0,0.09428571428571429,0.03142857142857143,0.02,0.0,0.5387093963207961,19,19,3,0.6132105263157894,0.0006394440356966906,5.006979950967028e-11,62.95646042266771,0.42784689193058545,54,True,
13,2,1,0.09428571428571429,0.03142857142857143,0.065,0.0,0.5520347631958648,16,16,1,0.6364375,0.0002358285628711531,1.4017424066621672e-11,65.00812274182012,0.3835533362124606,52,True,
13,2,2,0.09428571428571429,0.03142857142857143,0.11000000000000001,0.02565055502464909,0.537333862104432,16,16,3,0.8000625,0.0001501631022032419,4.925011883569831e-11,64.25589636722744,0.5771515265217949,63,True,
13,2,3,0.09428571428571429,0.03142857142857143,0.155,0.0,0.5469756628533089,22,22,2,0.5998181818181818,0.000927698089824143,5.263300461687642e-11,63.66329367763553,0.5868496867069732,64,True,
13,2,4,0.09428571428571429,0.03142857142857143,0.2,0.0,0.48679761473958166,19,19,3,0.668578947368421,0.0010461104711344776,5.094703711658354e-11,65.29743135633777,0.5293869982664036,59,True,
13,3,0,0.09428571428571429,0.037142857142857144,0.02,0.0,0.5805468877150463,19,19,2,0.7236842105263158,0.00035157976969609834,1.2813653641051825e-11,62.789314755514106,0.4811447437799925,57,True,
13,3,1,0.09428571428571429,0.037142857142857144,0.065,0.059103178380510046,0.5315148034662616,17,17,1,0.7484705882352941,0.001770352534263726,3.816170582688044e-11,64.50269000685898,0.5311128492631527,59,True,
13,3,2,0.09428571428571429,0.037142857142857144,0.11000000000000001,0.0,0.5226303737860808,18,18,1,0.7317222222222222,0.0007937611464654687,7.874269824199798e-11,65.19889716126484,0.44610517683554285,56,True,
13,3,3,0.09428571428571429,0.037142857142857144,0.155,0.07928563479889124,0.525319712312562,14,14,0,0.724142857142857,0.0016379294572200379,4.661712813064606e-11,63.178126312415856,0.5708172477152824,62,True,
13,3,4,0.09428571428571429,0.037142857142857144,0.2,0.0,0.48718357430656933,22,22,1,0.5582272727272728,0.00037387047759848956,4.1880950481653235e-11,63.52195880137186,0.4464041867493599,55,True,
13,4,0,0.09428571428571429,0.04285714285714286,0.02,0.0,0.5534170568940616,18,18,2,0.6623333333333333,0.0006873351183187871,3.84595240567533e-11,65.36547435773525,0.3751684276469678,52,True,
13,4,1,0.09428571428571429,0.04285714285714286,0.065,0.02884997858165019,0.5433748615195019,18,18,2,0.686,0.0011641256717382868,4.033532559997997e-11,63.787018125903636,0.3526124328023604,51,True,
13,4,2,0.09428571428571429,0.04285714285714286,0.11000000000000001,0.09599044716721607,0.5294990657629394,17,17,2,0.7642352941176471,0.00165521644983533,1.7534284403723716e-11,64.76163915999068,0.26103541473501957,48,True,
13,4,3,0.09428571428571429,0.04285714285714286,0.155,0.10854594725557892,0.5472779843833414,17,17,1,0.6185882352941177,0.0009998548798451114,1.486481511539902e-10,64.95100787504792,0.4387258346696579,56,True,
13,4,4,0.09428571428571429,0.04285714285714286,0.2,0.11783307910718918,0.5220269310682827,21,21,1,0.5949999999999999,0.0028200482560717588,7.342631099707418e-11,64.44883705465408,0.2878347288510922,49,True,
13,5,0,0.09428571428571429,0.04857142857142857,0.02,0.09502690269706157,0.5393880236012843,20,20,3,0.6802500000000001,0.00026101503233141486,4.005840986655672e-12,67.1405793702158,0.38833955226228706,53,True,
13,5,1,0.09428571428571429,0.04857142857142857,0.065,0.0,0.5450642938146437,15,15,6,0.7064000000000001,0.0005211735876821038,3.672952290744065e-11,63.15894094840697,0.4485166391381797,55,True,
13,5,2,0.09428571428571429,0.04857142857142857,0.11000000000000001,0.08715646876818381,0.546744254232008,15,15,3,0.7313333333333334,0.00024312093125347125,4.222246789712557e-12,63.372894859574856,0.4403719997301327,56,True,
13,5,3,0.09428571428571429,0.04857142857142857,0.155,0.1539283215021132,0.5110673115595934,15,15,2,0.7292000000000001,0.0013474903813622413,1.9005133958144195e-11,63.45742429789253,0.31730413720723427,50,True,
13,5,4,0.09428571428571429,0.04857142857142857,0.2,0.009267500025556444,0.4851966283455059,24,24,4,0.5302916666666667,0.0013063304146737323,4.096897305843156e-11,66.78573189686917,0.5036162525110028,59,True,
13,6,0,0.09428571428571429,0.054285714285714284,0.02,0.18533339376507535,0.5229678694736645,18,18,2,0.6987222222222222,0.0010705180690515985,4.4796726481273933e-11,65.44812461239867,0.48427183462185863,57,True,
13,6,1,0.09428571428571429,0.054285714285714284,0.065,0.2173280513216351,0.5415180254858606,16,16,3,0.7966875,0.0017947612205964577,3.45291033134774e-11,65.52914723792843,0.38455719038907876,53,True,
13,6,2,0.09428571428571429,0.054285714285714284,0.11000000000000001,0.13737705679998816,0.4929366236430219,17,17,4,0.7441764705882354,0.0015132449357264425,5.929068828698277e-11,63.36490984106259,0.1909881108680611,46,True,
13,6,3,0.09428571428571429,0.054285714285714284,0.155,0.26783676971023757,0.5080412681206946,21,21,2,0.624095238095238,0.0009465493442906345,1.9701059113843806e-11,63.753203013830586,0.31345396260370056,50,True,
13,6,4,0.09428571428571429,0.054285714285714284,0.2,0.11656313479954139,0.4994698507475992,20,20,2,0.6397999999999999,0.001608079215922469,1.646322090788337e-11,63.31709196797941,0.542342487800367,61,True,
13,7,0,0.09428571428571429,0.06,0.02,0.16876870234065228,0.4981323656047002,23,23,8,0.5761739130434781,0.00040031509091607213,8.057298483053512e-11,64.75438026490814,0.5296119477739424,59,True,
13,7,1,0.09428571428571429,0.06,0.065,0.08300985591682669,0.5363003239620863,19,19,7,0.668421052631579,0.00023995675251869692,4.0609223855963874e-11,63.91422782638772,0.4001824632920979,53,True,
13,7,2,0.09428571428571429,0.06,0.11000000000000001,0.256839731295804,0.5383269523500093,18,18,2,0.6843333333333335,0.001752181751610613,2.623590481555221e-11,64.37517890666076,0.5760371812334728,64,True,
13,7,3,0.09428571428571429,0.06,0.155,0.16749902214796314,0.5414796157271946,19,19,4,0.6861052631578948,0.0008081767653362075,3.361575353539093e-11,64.09564982693638,0.39415853897054215,53,True,
13,7,4,0.09428571428571429,0.06,0.2,0.18025311539807073,0.5310709968506552,16,16,0,0.80025,0.001240109763841618,3.527098342700286e-11,65.46785451114562,0.4704991042206423,57,True,
13,8,0,0.09428571428571429,0.06571428571428571,0.02,0.3439813786331131,0.5195325977031585,17,17,7,0.6185294117647059,0.0005026215977649869,2.09638677527159e-11,64.64653051662208,0.31578893010710124,50,True,
13,8,1,0.09428571428571429,0.06571428571428571,0.065,0.20841168325800644,0.4972157936149018,20,20,5,0.62535,0.0007102754956368522,5.523873724750796e-11,64.2184519202768,0.3391976689008118,52,True,
13,8,2,0.09428571428571429,0.06571428571428571,0.11000000000000001,0.33577320048539155,0.5542514343749879,17,17,2,0.7766470588235294,0.0008486673117372756,2.057780601282776e-11,64.80628870566505,0.4385274471349276,54,True,
13,8,3,0.09428571428571429,0.06571428571428571,0.155,0.1764542934551541,0.5555406274040348,16,16,4,0.6625624999999999,0.0016995196621348097,5.574890590959501e-12,68.66367787514584,0.48910963844826594,57,True,
13,8,4,0.09428571428571429,0.06571428571428571,0.2,0.23355727629095566,0.5311484730996169,14,14,3,0.8653571428571428,0.0008728514793270191,3.4461855971051834e-11,65.12419826194069,0.37238067343544656,52,True,
13,9,0,0.09428571428571429,0.07142857142857142,0.02,0.43714977331905036,0.5104500340980667,20,20,7,0.6428,0.0009476165138469516,7.594429798016658e-11,64.72562403439778,0.4103783764239025,54,True,
13,9,1,0.09428571428571429,0.07142857142857142,0.065,0.3746859944530402,0.5596283157160907,20,20,6,0.6741500000000001,0.0016807420689038891,5.5187701435531437e-11,62.34894226074581,0.4234448525775303,54,True,
13,9,2,0.09428571428571429,0.07142857142857142,0.11000000000000001,0.36294176857880583,0.5136073564891659,22,22,6,0.5886363636363636,0.0009849831395540548,7.423209225865849e-11,65.5861785695117,0.4660985811498907,56,True,
13,9,3,0.09428571428571429,0.07142857142857142,0.155,0.25790018101624823,0.5571114199187286,19,19,5,0.667,0.0017086342198188353,7.579006764405243e-11,64.69721369515375,0.35111461126610366,52,True,
13,9,4,0.09428571428571429,0.07142857142857142,0.2,0.27504072830614157,0.5045400785350749,18,18,4,0.72,0.0007204598713362574,2.902195684049931e-11,65.70836055659058,0.3753609287612363,52,True,
13,10,0,0.09428571428571429,0.07714285714285714,0.02,0.4219280279883665,0.55668013852249,16,16,5,0.8236874999999999,0.0005861187554381909,7.814672192947084e-11,63.80573091620003,0.44237020605112976,56,True,
13,10,1,0.09428571428571429,0.07714285714285714,0.065,0.33580580148668243,0.4925932203703228,21,21,8,0.6045238095238096,0.0002613471677495991,2.5506929022268467e-11,64.46044853846499,0.34735956647537214,51,True,
