mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,score,feasible,n_passed,T9_new,T10a_new,T10b_new,T11_new,T9_mi,T10a_phase_argmax_deg,T10b_concentration,T11_up_down_ratio,pac_bimodal,shape_r,T4_q,T12_n_verified,eval
3.9740782461738595,3.0681472311474622,35.288097653422035,1790.7670833000564,0.054233100034916916,0.06971076953366424,0.011040250603193144,0.13025781158945007,-2.5,0,9,0,1,0,1,0.0038166289061800857,10.000000000000002,0.07026436222911335,1.3117611465333991,1,0.0,3.635,17,12
3.9830885950487427,3.0662249891637976,35.28782851413226,1776.6031755121996,0.05398220697381044,0.06754096463201786,0.011795282599615129,0.13265400572421915,-1.666667,0,10,1,1,0,1,0.008682381701242753,-10.000000000000002,0.06698238161169905,1.3716592512449493,0,0.0,3.343,15,13
3.964460868020783,3.0772447654160864,35.18952443725814,1783.7109865303944,0.05457980194895169,0.06887506528891206,0.01271438886181156,0.1317975949075454,-2.5,0,9,0,1,0,1,0.004380865246028349,-10.000000000000002,0.0776693863971113,1.428513310377003,0,0.0,3.434,15,14
3.9624997766463332,3.0688604746696155,35.21328678457243,1796.776481574036,0.05405312187970082,0.06734989231294757,0.009748260045249861,0.13539142144185706,-1.666667,0,10,1,0,1,1,0.005916814253774562,110.0,0.09219620135550582,1.2387994585907582,1,0.0,3.562,18,15
3.9918407392057595,3.093504982781013,34.849343871691,1781.430252261314,0.05428375514649643,0.06862050640137742,0.011444170038889291,0.133939630829087,-0.833333,0,11,1,1,1,1,0.010053169618850876,30.000000000000004,0.13533456085639914,1.273936079011321,1,0.0,3.934,13,16
3.990337099193725,3.084867586020111,35.12045853778894,1788.2601118215455,0.05270991351750003,0.06797447462567384,0.010102368606648305,0.13100722127922573,-2.5,0,9,0,0,0,0,0.0017681668865808817,90.0,0.0596457778867286,1.1195338780976525,0,0.0,3.465,21,17
3.9680408148135675,3.1107913390546926,34.792452591704105,1794.0266869047657,0.052484199565739895,0.06795621804931967,0.010735494326046105,0.13517256188987464,-2.5,0,9,0,0,0,1,0.00123412807936067,90.0,0.025225980006372717,1.2659574012605328,0,0.0,3.319,22,18
3.991092254394494,3.098048987445755,34.939310708042434,1769.5457438249202,0.05502504521861286,0.06812851489544466,0.009297054937603178,0.12932622943564126,0.684226,1,12,1,1,1,1,0.00699529942976446,-10.000000000000002,0.09369231882869228,1.2793064310336766,1,0.5797859786167859,3.576,14,19
3.952983289300877,3.0926696483935583,35.07879753760503,1789.2730930798039,0.05373981669101916,0.06854832771459465,0.011198331654908437,0.13212762772820427,-1.666667,0,10,1,1,0,1,0.007429043738765212,10.000000000000002,0.04900454296671999,1.2581737405297497,1,0.0,3.509,16,20
3.9851457265264516,3.071618316018401,34.93524133613651,1770.925208858897,0.052971229691766666,0.0689424470622453,0.010103338920738376,0.13322188596692722,0.685694,1,12,1,1,1,1,0.0053200850960871664,-10.000000000000002,0.10052015303741138,1.5384458359495268,0,0.5376372524980311,3.67,20,21
3.985705938643366,3.0917501141791095,35.22731799950926,1775.772224090071,0.05374377102531154,0.06826241823221492,0.00888540682698307,0.12825922355701458,-1.666667,0,10,1,0,1,0,0.005911832773650563,110.0,0.11494109615535177,0.9582280062052795,1,0.0,3.473,10,22
3.9435593992840126,3.0655282180771555,35.151884508950445,1761.962950105675,0.053788906783316305,0.06991715404264588,0.010216477289879672,0.13568695889604118,-2.5,0,9,0,1,0,1,0.00490497926368108,10.000000000000002,0.02878890244291901,1.2629451976780761,1,0.0,3.814,20,23
3.952652244042904,3.079909058034062,34.768542364966386,1771.655973706186,0.055007377474813095,0.06628529557747179,0.011007164904486956,0.13398770701118284,0.602159,1,12,1,1,1,1,0.019140500174096898,10.000000000000002,0.09049085424020317,1.3778674763793148,1,0.5231505770231414,3.516,11,24
3.9605856047601007,3.0573769122086505,35.05883340875173,1768.3968284634966,0.0543997455487104,0.06838430265993073,0.012174520152262015,0.1323655968298448,-0.833333,0,11,1,1,1,1,0.012395770461883641,10.000000000000002,0.10033207534374206,1.5058018390005514,1,0.0,3.474,12,25
3.950551752822162,3.0868962190421305,35.10082768680897,1800.7159254885107,0.05500218058327028,0.06878632535628201,0.012036044152160662,0.12913761157855538,0.669595,1,12,1,1,1,1,0.014190216432977324,10.000000000000002,0.10179657116701225,1.4742686648934737,0,0.553148482588389,3.555,14,26
3.959519895904373,3.0668117427122468,34.927642644464754,1753.8996543440126,0.0548022202841701,0.06809141284878407,0.009101934966438442,0.12972643708714746,-1.666667,0,10,1,1,0,0,0.00670011049511856,10.000000000000002,0.02579013636705852,1.194635378817638,1,0.0,3.845,12,27
3.981797707839646,3.0988622696861516,35.60542020180146,1827.3195222193137,0.0545814787706317,0.06717063434126436,0.00844069498020979,0.13408962493522214,-1.666667,0,10,1,1,0,1,0.008594390169593135,10.000000000000002,0.04328550252109643,1.267487834259263,1,0.0,3.45,14,28
3.9554724558273326,3.07609649640067,34.864513137628,1775.0482940526392,0.055233049568143344,0.06854653836623702,0.010414106423902413,0.12965818320364533,-0.833333,0,11,1,1,1,1,0.007507139039437814,30.000000000000004,0.09476356031726402,1.4108917630047138,1,0.0,3.773,16,29
3.935333548806994,3.074807890715464,35.023074384128584,1807.7103243821753,0.05429734385882858,0.06953736749853028,0.010073445662401948,0.1291505971574352,-0.833333,0,11,1,1,1,1,0.007540630404332052,30.000000000000004,0.10164140970262715,1.4001065075321493,1,0.0,3.178,13,30
