track,estimator,parameter,rank_mean,rank_variance,bias_mean,mean_abs_error,median_norm_sd,median_interval_width,corr_width_abs_error,calibration_slope,calibration_intercept,rank_mean_q1,rank_mean_q2,rank_mean_q3,rank_mean_q4,mean_boundary_proximity,fraction_true_near_boundary_0p05
7d,member_3,tauA,0.5193683269855145,0.10375822445070496,-0.012573280662763864,0.18641902523086173,0.7005786379570647,0.7927793598175048,0.42393520574948007,0.3893462162878399,0.2927536107978809,0.19916021478521478,0.42006821303696307,0.613437343906094,0.8448075362137862,0.250000000167347,0.099609375
7d,member_3,g_LK,0.5090436906843157,0.0926134206745984,0.015134518833292532,0.1509948570292181,0.5584949772415614,0.63199656188488,0.592155156780018,0.5324154540775211,0.24892679151725874,0.2357213099400599,0.47022118506493504,0.5330216658341659,0.7972106018981018,0.2500000001055014,0.099609375
7d,member_3,g_h,0.5103334165834166,0.08631455632255419,0.014104215018960531,0.1504371605024062,0.6981310391684131,0.7900096410512925,0.3179379906405582,0.5236379227733845,0.2522852534286407,0.22520448301698304,0.4671071116383616,0.5500866321178821,0.7989354395604396,0.2500000001546141,0.1005859375
7d,member_3,c_th2ctx,0.4961298467157842,0.09654604181902339,-0.04606689514184836,0.15419691277929815,0.632862383376913,0.7161512041091919,0.31232528921236524,0.5929254676606005,0.15747037092714777,0.254175511988012,0.40143840534465536,0.5441823801198801,0.7847230894105894,0.24999999975261744,0.1005859375
7d,member_4,mue,0.5224453281093906,0.10462138080520374,-0.015584535040034098,0.14724604803450347,0.5338439488629745,0.6041012972593307,0.43755386247114736,0.5728770338191091,0.19797694785695533,0.25190044330669337,0.43138111888111885,0.5936134178321678,0.8128863324175825,0.2500000000127329,0.099609375
7d,member_4,mui,0.33650626717032966,0.04852623106103439,0.004197702728561126,0.006629199126109597,0.029094079420887126,0.032923050187528134,0.598901381123441,0.9952893931635958,0.006553006171225777,0.3155672452547452,0.3291044892607392,0.337037962037962,0.36431537212787213,0.25000000519321475,0.1005859375
7d,member_4,b,0.48389598682567436,0.09207710681345585,0.008314277320096153,0.09223082512289693,0.34865210191950524,0.39453699439764023,0.48862972896850626,0.8018186566479545,0.10740494893952175,0.30037150349650354,0.4383351023976024,0.502446771978022,0.6944305694305695,0.2499999999472493,0.099609375
7d,member_4,tauA,0.5169039944430569,0.10382763346923396,-0.009060833479452413,0.18721959570393665,0.7028321746018225,0.7953294765949248,0.4161626945613581,0.40932269920376324,0.2862778165361663,0.21196381743256745,0.4230457042957043,0.5954592282717283,0.8371472277722278,0.250000000167347,0.099609375
7d,member_4,g_LK,0.49939708728771226,0.09273822458322847,0.018036389164990396,0.15238493311517232,0.5682931668857878,0.6430842572450638,0.5857886755155154,0.5221933997557302,0.25693968900378933,0.22688639485514484,0.44946850024975027,0.5185868818681318,0.8026465721778222,0.2500000001055014,0.099609375
7d,member_4,g_h,0.5071764173326674,0.08661315968172417,0.013856482111805235,0.1463676084913459,0.6945698865563418,0.7859798175096512,0.29158799944719616,0.5474447788107925,0.24013409251295803,0.22106799450549453,0.4706933691308691,0.5476671765734267,0.7892771291208791,0.2500000001546141,0.1005859375
7d,member_4,c_th2ctx,0.506644722465035,0.09675358526267915,-0.05064667211991036,0.155651780180051,0.6136588257176743,0.6944203329086304,0.3178730516473079,0.5971186924829027,0.15079398153897247,0.27872908341658337,0.4020705856643356,0.5387854333166833,0.8069937874625375,0.24999999975261744,0.1005859375
7d,member_5,mue,0.514053329483017,0.10213910776909395,-0.009834239250267274,0.14727596086049743,0.5449938372171359,0.6167185837030411,0.4413134605694333,0.5834900416925188,0.1984207397148246,0.24717079795204794,0.4277363261738262,0.5807864010989011,0.8005197927072927,0.2500000000127329,0.099609375
7d,member_5,mui,0.6691501857517483,0.048774744431552226,-0.003934260574169457,0.00908263220480876,0.03599654358171887,0.04073392368853092,0.6418741958751412,0.9891288234260555,0.0015013277692577636,0.6129222340159841,0.6758124687812188,0.6830357142857142,0.7048303259240759,0.25000000519321475,0.1005859375
7d,member_5,b,0.5220277769105894,0.09289754159889008,-0.00782709743543819,0.10291252740898926,0.39545745718437564,0.4475022399425507,0.4830632818281488,0.7484737049419404,0.11793605002176036,0.3019870754245754,0.4673607642357642,0.5649623813686313,0.7538008866133866,0.2499999999472493,0.099609375
7d,member_5,tauA,0.5268920532592407,0.1026549493939274,-0.018435677946399665,0.18819126537346165,0.7108654543479589,0.8044199883937836,0.4037202104446786,0.39229237041489895,0.28541813645262337,0.20790147352647353,0.43404251998001997,0.6217688561438561,0.8438553633866134,0.250000000167347,0.099609375
7d,member_5,g_LK,0.5043501420454546,0.09518542479522517,0.024166070877981838,0.15156249501160346,0.6021776715546454,0.6814281839132309,0.5560440281470883,0.5292076585304699,0.2595622413335716,0.22271478521478522,0.46366914335664333,0.5200346528471529,0.8109819867632369,0.2500000001055014,0.099609375
7d,member_5,g_h,0.49991317276473524,0.08241656955151065,0.021316972059139516,0.14034633450501133,0.7185771210637644,0.8131465607881545,0.320119280621509,0.5668536176818987,0.2378901630330361,0.2216416396103896,0.47358500874125875,0.5385200736763237,0.7659059690309691,0.2500000001546141,0.1005859375
7d,member_5,c_th2ctx,0.49241090940309695,0.09565365317753909,-0.04225131687417161,0.15110471974912798,0.6392251388161577,0.7233513396978377,0.31347476663186596,0.6085815133208944,0.15345792636855102,0.25768762487512487,0.39613121253746253,0.5397571178821179,0.7760676823176823,0.24999999975261744,0.1005859375
