track,case_id,parameter,f_between,trace_between_fraction,pairwise_mahal_mean,n_posterior_samples_per_member
8d,195,c_th2ctx,0.0032978675180363065,0.002718539129546337,0.31746877672462903,512
8d,195,c_ctx2th,0.0007347245223536937,0.002718539129546337,0.31746877672462903,512
8d,217,mue,0.0032352859776340866,0.004907627823430087,0.48864488905400094,512
8d,217,mui,0.04699326427292277,0.004907627823430087,0.48864488905400094,512
8d,217,b,0.009663904546360532,0.004907627823430087,0.48864488905400094,512
8d,217,tauA,0.0012567210053563184,0.004907627823430087,0.48864488905400094,512
8d,217,g_LK,0.008513088441393764,0.004907627823430087,0.48864488905400094,512
8d,217,g_h,0.011958515939630838,0.004907627823430087,0.48864488905400094,512
8d,217,c_th2ctx,0.005283069546463425,0.004907627823430087,0.48864488905400094,512
8d,217,c_ctx2th,0.0003879425485631993,0.004907627823430087,0.48864488905400094,512
8d,239,mue,0.0035879448212030023,0.002849271187216455,0.33629901692962727,512
8d,239,mui,0.010304414867942294,0.002849271187216455,0.33629901692962727,512
8d,239,b,0.010848078372296004,0.002849271187216455,0.33629901692962727,512
8d,239,tauA,0.0008052970682648995,0.002849271187216455,0.33629901692962727,512
8d,239,g_LK,0.0016609757735743024,0.002849271187216455,0.33629901692962727,512
8d,239,g_h,0.007312078931750301,0.002849271187216455,0.33629901692962727,512
8d,239,c_th2ctx,0.0034813597626929087,0.002849271187216455,0.33629901692962727,512
8d,239,c_ctx2th,0.00016791939472034093,0.002849271187216455,0.33629901692962727,512
8d,261,mue,0.004461760557061746,0.005488487463681988,0.4266658179599453,512
8d,261,mui,0.014281417578046107,0.005488487463681988,0.4266658179599453,512
8d,261,b,0.021457167630807177,0.005488487463681988,0.4266658179599453,512
8d,261,tauA,0.008124701536507555,0.005488487463681988,0.4266658179599453,512
8d,261,g_LK,0.0024803292613506034,0.005488487463681988,0.4266658179599453,512
8d,261,g_h,0.00492514125321705,0.005488487463681988,0.4266658179599453,512
8d,261,c_th2ctx,0.007158053179834002,0.005488487463681988,0.4266658179599453,512
8d,261,c_ctx2th,0.003192939639917204,0.005488487463681988,0.4266658179599453,512
8d,282,mue,0.031293886510676674,0.010875696185626149,0.4906353653477086,512
8d,282,mui,0.00467997790757972,0.010875696185626149,0.4906353653477086,512
8d,282,b,0.013648114227981113,0.010875696185626149,0.4906353653477086,512
8d,282,tauA,0.015547638491697508,0.010875696185626149,0.4906353653477086,512
8d,282,g_LK,0.012893655623577386,0.010875696185626149,0.4906353653477086,512
8d,282,g_h,0.0020803276011409863,0.010875696185626149,0.4906353653477086,512
8d,282,c_th2ctx,0.013026293530402246,0.010875696185626149,0.4906353653477086,512
8d,282,c_ctx2th,0.0039481879563409445,0.010875696185626149,0.4906353653477086,512
8d,304,mue,0.0013248060435322592,0.004769085899535735,0.4390915206992599,512
8d,304,mui,0.025700724582973258,0.004769085899535735,0.4390915206992599,512
8d,304,b,0.008463436181489417,0.004769085899535735,0.4390915206992599,512
8d,304,tauA,0.002835070333670096,0.004769085899535735,0.4390915206992599,512
8d,304,g_LK,0.02149553615601734,0.004769085899535735,0.4390915206992599,512
8d,304,g_h,0.005772100778740821,0.004769085899535735,0.4390915206992599,512
8d,304,c_th2ctx,0.0018649102659965716,0.004769085899535735,0.4390915206992599,512
8d,304,c_ctx2th,0.0048925821096264645,0.004769085899535735,0.4390915206992599,512
8d,326,mue,0.021790711954122306,0.0076721805642149705,0.45920923838942296,512
8d,326,mui,0.0010549876037287452,0.0076721805642149705,0.45920923838942296,512
8d,326,b,0.013463677060808059,0.0076721805642149705,0.45920923838942296,512
8d,326,tauA,0.007769155827251968,0.0076721805642149705,0.45920923838942296,512
8d,326,g_LK,0.005931906449818374,0.0076721805642149705,0.45920923838942296,512
8d,326,g_h,0.0067011545304637736,0.0076721805642149705,0.45920923838942296,512
8d,326,c_th2ctx,0.009000371766248832,0.0076721805642149705,0.45920923838942296,512
8d,326,c_ctx2th,0.0036153318210844073,0.0076721805642149705,0.45920923838942296,512
8d,348,mue,0.007411102572950613,0.005198047880854809,0.4322876687782536,512
8d,348,mui,0.008990642946349176,0.005198047880854809,0.4322876687782536,512
8d,348,b,0.008453677211103518,0.005198047880854809,0.4322876687782536,512
8d,348,tauA,0.00743061691853296,0.005198047880854809,0.4322876687782536,512
8d,348,g_LK,0.0038471033283029267,0.005198047880854809,0.4322876687782536,512
8d,348,g_h,0.003138131691934833,0.005198047880854809,0.4322876687782536,512
8d,348,c_th2ctx,0.012751178643394328,0.005198047880854809,0.4322876687782536,512
8d,348,c_ctx2th,0.0018259006339400548,0.005198047880854809,0.4322876687782536,512
8d,370,mue,0.0013348570094510526,0.005042525420351435,0.3711267525265521,512
8d,370,mui,0.008630819724348694,0.005042525420351435,0.3711267525265521,512
